id,userId,projectId,status,createdAt,updatedAt,motivation
cmdptx2he0001l404kiaoe05h,cmdoi5ahl0000ju0476vbr1yy,cmdnev7jb000p47bcymbgpgn2,PENDING,7/30/2025 10:34:47,7/30/2025 10:34:47,"I love building things and this is a great opportunity to work with a new team.

Relevant Experience:
I have interned twice before in this field.

Project Understanding:
This project would help restaurants reduce waste which will cut costs in the long run.

Proposed Approach:
I would start with a low fidelity prototype than starts working based on that.

Availability:
10-15 hours

Start Date: 2025-08-01

Commitment Level: regular"
cmdq02gcq0001l704faghrfpy,cmdnne9g70000js049zfsp6qy,cmdnev7jb000p47bcymbgpgn2,PENDING,7/30/2025 13:26:56,7/30/2025 13:26:56,"I am interested in this project because I care about reducing food waste and the environment. I think using an app to help restaurants waste less food is smart and useful idea. I also want to learn by working on a real project and be a part of something that makes a positive impact.

Relevant Experience:
I have been involved in many school projects that focused on helping others or raising awareness about social and environmental issues. These experiences taught me teamwork, the value of responsibility and thinking about the bigger picture.

Project Understanding:
I understand this project as a way to help restaurants reduce food waste by using a smart, easy to use app. The goal is to track extra food, find ways to avoid waste, and maybe provide the extra food to people who need it. What needs to be accomplished is creating a solution that's practical for restaurants, helps the environment and supports the society at the same time.

Proposed Approach:
First, I would start by understanding the needs of the restaurants and how food waste happens. Next, I would help design an easy to use app that fits their daily work. I would also focus on ways the app can track food waste and suggest solutions, like donating extra food or using it differently. Finally, I would test the app on real users, get feedback, and keep improving to make sure it really helps the raised issue.

Availability:
10-15 hours

Start Date: 2025-08-18

Commitment Level: casual"
cmdqd5fdd000ele04tb6wdyxa,cmdqd3fvi000tjz05kozd9owu,cmdnev921000t47bctzmxc0my,PENDING,7/30/2025 19:33:09,7/30/2025 19:33:10,"https://lookerstudio.google.com/reporting/bd4f331f-5e78-477c-a130-cc6477b71893

Relevant Experience:


Project Understanding:
https://lookerstudio.google.com/reporting/bd4f331f-5e78-477c-a130-cc6477b71893

Proposed Approach:
https://lookerstudio.google.com/reporting/bd4f331f-5e78-477c-a130-cc6477b71893

Availability:
5-10 hours

Start Date: 2025-07-30

Commitment Level: regular"
cmdqds35n000vle042lcfyc4b,cmdqd2sjg000qjz05johw2rwx,cmdnev0kl000747bc2ezzarnw,PENDING,7/30/2025 19:50:47,7/30/2025 19:50:47,"The overall project idea excites me because its truly alingns with my expertise and having experience in making dashboards previously has been what really excites me for this project. 

Relevant Experience:
I previously worked as AI engagement Analyst at Excelerate where I was responsible for delivery of visualization in python to enhance student retention. I worked as Data and AI traniee at GAOTek where I worked with digital marketing team to make dashboards for their website activities and people engagement. 

Project Understanding:
As of my understanding I have bring my analytical skills to make a dashboard for E commerce using visualization tools like Power BI or Tableau to help gain required insights and desired KPIs through engaging visuals.

Proposed Approach:
Firstly I would verify the given data  . Then pre process the data to check rows colums names etc. Then I will clean the data to handle missing values , null values and formatting the timestamps if required. Then as per the requirements I will use visualization tool like Power BI or Tableau to visualize that data to get insights and achieve desired KPIs.

Availability:
15-20 hours

Start Date: 2025-08-01

Commitment Level: casual"
cmdqfmkgi0009jp04d6g8rjsz,cmdqeecnb001ale04yh1vi9et,cmdnev7jb000p47bcymbgpgn2,PENDING,7/30/2025 20:42:28,7/30/2025 20:42:29,"This opportunity will help me align my goals ,as I wanted  to have more experience in the Web and app development industry.

Relevant Experience:
I have developed some websites for the past few years and I’m welling to know more about the app development and get in depth and have more experience 

Project Understanding:
An app that helps the restaurants to track and manage the waste that they give out each day so they can reduce it using ai management 

Proposed Approach:
I’d mostly appreciate if I could help with the front end and the design part as I’m more interested and creative with it 

Availability:
5-10 hours

Start Date: 2025-09-01

Commitment Level: casual"
cmdqkf0mw0001ju04eo3bclet,cmdqh7u7y0004l804x0ptbnnf,cmdnev0kl000747bc2ezzarnw,PENDING,7/30/2025 22:56:34,7/30/2025 22:56:35,"I’m interested because it’s a chance to work on a real-world data problem and build something useful. I want to get better at analyzing data, telling stories with it, and making dashboards; skills that align with my interest in computer science and possibly machine learning in the future. This project feels like the right mix of challenge and learning.

Relevant Experience:
I’ve worked on small projects using Python, including basic data analysis with pandas and matplotlib. I’ve also studied data structures and algorithms, which helps me think through problems logically. While I’m still gaining experience, I’m confident in my ability to learn quickly and apply what I know to real-world tasks like building a dashboard.

Project Understanding:
This project is about building a data dashboard for an online store. The goal is to track important things like sales, customer behavior, and how much inventory is left. I understand that I’ll need to take raw data, analyze it, and turn it into visual insights that help the business make better decisions. It’s about thinking like the user and making something that’s actually useful and easy to understand.

Proposed Approach:
I’d start by understanding what data is available—sales, customer info, inventory, etc.—and what insights the business needs most. Then I’d clean and organize the data using Python and tools like pandas. After that, I’d design the dashboard layout to show key metrics clearly, probably using something like Tableau or Plotly. Throughout, I’d test, get feedback, and improve it. I’d also make sure everything is well-documented and easy to use.

Availability:
10-15 hours

Start Date: 2025-08-04

Commitment Level: regular"
cmdqkkdr20001la048rpfp2tn,cmdqh7u7y0004l804x0ptbnnf,cmdnev4fx000h47bc5dvuypy4,PENDING,7/30/2025 23:00:44,7/30/2025 23:00:45,"I’m a computer science student with a minor in psychology. I love building things with code and thinking about how users interact with them. I’m detail-oriented, curious, and a strong communicator. My background helps me understand both the tech and human sides of this project, and I’d be excited to collaborate with a team to bring a meaningful app to life.

Relevant Experience:
I’ve worked on coding projects in Python and C++, and I’ve learned how to design user-friendly experiences through coursework and small app builds. I’ve also studied mental health topics in my psych minor, which helps me understand user needs better. I may not be advanced yet, but I’m quick to learn and motivated to grow with hands-on experience.

Project Understanding:
This project is about creating a mental health app that helps users track moods, access helpful resources, and connect with professionals if needed. I see it as a supportive space designed with empathy and usability in mind. The goal is to make something that actually helps users feel seen, heard, and supported in their mental health journey.

Proposed Approach:
I’d begin by understanding the needs of the users: what features will actually help them. With input from the team, I’d help map out a simple, supportive app structure, focusing on mood tracking, access to resources, and connection to support. I’d also focus on privacy, clean design, and regular team check-ins to keep everything on track.

Availability:
10-15 hours

Start Date: 2025-08-04

Commitment Level: regular"
cmdqkpizu0003ju04ch5pr94x,cmdqh7u7y0004l804x0ptbnnf,cmdnev8a2000r47bcq4a5ecq3,PENDING,7/30/2025 23:04:44,7/30/2025 23:04:45,"
I’m excited about using my computer science and math skills to solve real-world problems, especially in cybersecurity. This project offers a chance to build an interactive platform that educates users about digital threats, which I find meaningful. I’m also eager to apply analytical thinking and understand user behavior to create effective training that can protect small businesses.

Relevant Experience:
My coursework has strengthened my logical reasoning and programming abilities, especially in Python and C++. I’ve tackled projects that involve data handling and user interaction. Additionally, my psychology studies help me appreciate the human side of cybersecurity, such as recognizing why people fall for phishing attempts. This blend prepares me to contribute effectively to this training platform.

Project Understanding:
This project is about creating an educational platform that helps small businesses recognize and avoid cybersecurity risks like phishing. It combines learning modules with interactive simulations to reinforce good security habits. The platform needs to be engaging and easy to use so that users actually improve their awareness and reduce vulnerabilities.

Proposed Approach:
I would start by researching common cybersecurity threats for small businesses. Then, I’d collaborate with the team to design clear training content and build realistic phishing simulations. I’d leverage my math background to help develop logical structures and data analysis, while focusing on user experience to ensure the platform is effective and approachable. Regular testing and feedback would guide our improvements.

Availability:
20+ hours

Start Date: 2025-08-04

Commitment Level: dedicated"
cmdqxu61a0001jo04hfg91ddr,cmdqvw76f0006js0408d2f5k4,cmdnev7jb000p47bcymbgpgn2,PENDING,7/31/2025 5:12:16,7/31/2025 5:12:17,"I am very much passionate about using technology to solve real-world problems and food waste is a critical issue. This project achieves sustainability using smart systems, hence making it a meaningful opportunity to create a positive impact.

Relevant Experience:
I have built a Full-Stack website as part of my University project using HTML, CSS, JavaScript, Node.js and MySQL. My strong suits include Frontend Development and designing the UI/UX. I am always looking forward to learning more about this field and expanding my skill set.

Project Understanding:
I believe this project involves building an app to help restaurants monitor and keep track of their food inventory. This should allow them to view the food usage patterns and most importantly reduce food waste. This would requrire real-time alerts and stock updates. By analyzing trends in food usage and wastage, the system can optimize the ordering process to prevent overstocking. This solution should be accessible on mobile devices and should be able to support different users such as employees, kitchen staff and managers. Overall, this system should bridge the gap between sustainability and practical food management.

Proposed Approach:
First we would need to understand the market and the potential users, then I would design a functional and user-friendly interface/ dashboard along with a database using SupaBase or MySQL, to store the relevant data. Then I would implement the required features such as usage analytics, food waste logs and we could also incorporate predictive algorithms to forecast future demand, to further reduce food wastage.

Availability:
5-10 hours

Start Date: 2025-08-05

Commitment Level: regular"
cmdqzbl2i0007jr04me7q3jpk,cmdqyye6m0000jr04hbelv8bm,cmdnev921000t47bctzmxc0my,PENDING,7/31/2025 5:53:48,7/31/2025 5:53:49,"I’m excited by the challenge of turning real-time IoT sensor data into actionable insights for smarter cities. At e&, I’ve worked on AI-driven dashboards and smart infrastructure projects that improved urban systems by 35%. This opportunity aligns with my passion for combining AI, data visualization, and urban tech to build scalable solutions that make cities more intelligent, efficient, and human-centered

Relevant Experience:
I do have all the mentioned skillsets. Kindly review my LinkedIn profile for references. I really want to work on this select project from the Bidaaya platform.

Project Understanding:
Its about building a real time visualization from IOT Sensors which would be time series data.

Proposed Approach:
We will be working with real time data, so would be integrating the sensor data infromation through kafka or hadoop and visualization can be live on power bi or tableu

Availability:
15-20 hours

Start Date: 2025-08-04

Commitment Level: dedicated"
cmdr80gvf0003jz04j91lpwlf,cmdr7rze30000jo045wsocs58,cmdnev61g000l47bcqvcbqxqb,PENDING,7/31/2025 9:57:06,7/31/2025 9:57:07,"I have experience in building AI chatbots

Relevant Experience:


Project Understanding:
There is a given company that requires a chatbot created.

Proposed Approach:
I will collect information on the company, including their website and other details provided, and build a chatbot. 

Availability:
15-20 hours

Start Date: 2025-08-12

Commitment Level: regular"
cmdrgxz6s0001jl04rbuif560,cmdqbohno0008ky04bbhk2apg,cmdnev245000b47bc6nyfkb77,PENDING,7/31/2025 14:07:06,7/31/2025 14:07:07,"This research on urban sustainability closely aligns with topics I have worked with in the past and plan to improve upon in the future. I'm eager to contribute to the research on urban sustainability initiatives and their social impact on the built environment to find real-world outcomes that create inclusive and effective planning and design strategies.

Relevant Experience:
I have experience in leading and organizing a team during the research process in my thesis project. From my experience in the research group, I have developed technical, analytical, and policy-relevant skills in urban sustainability.

Project Understanding:
I understand that this research will explore how urban sustainability initiatives will affect communities, in terms of accessibility and inclusivity, as well as the environment. It involves analyzing existing frameworks and identifying the gaps within them to create improved policies and initiatives.

Proposed Approach:
I would begin by going through case studies of urban sustainability programs, analyzing their goals, implementation strategies, and their social and environmental impact. Like in my previous research works on policies and initiatives, I would assess these programs using a structured criterion built from pre-existing environmental and social frameworks. I would further organize these findings into groups and identify the gaps and what could be improved. With this, I would draft clear, applicable recommendations and turn them into an organized, visual presentation to communicate my findings.

Availability:
15-20 hours

Start Date: 2025-08-11

Commitment Level: regular"
cmdrhy7830001l70485wh9zbp,cmdngr0j20008l504wdgq5o2e,cmdnev61g000l47bcqvcbqxqb,PENDING,7/31/2025 14:35:16,7/31/2025 14:35:17," find it exciting to work on something that uses tech to help people. I’ve always been curious about how chatbots work, and this project seems like a great way to learn more while building something useful. It also fits my goal of improving my programming and problem-solving skills.



Relevant Experience:
I’ve completed some CS courses such as OOP, Data structures and algorithms, website design, and worked on coding projects in Python. I enjoy solving problems and learning as I go.

Project Understanding:
I understand this project is about creating a smart chatbot to help customers on an e-commerce platform. The goal is to use natural language processing so the bot can understand questions and respond in a helpful way.

Proposed Approach:
First, I’d learn more about how chatbots work and the basics of natural language processing. Then, I’d start by building simple chatbot responses using existing tools or libraries. As I learn more, I’d try to improve how the bot understands and replies to users. I’d also test it regularly and get feedback to make it better.

Availability:
5-10 hours

Start Date: 2025-08-12

Commitment Level: regular"
cmdrivgpi0009l704qc6ppwxo,cmdribql20006l7043lqv71fj,cmdneuy53000147bchyjf8l90,PENDING,7/31/2025 15:01:08,7/31/2025 15:01:09,"I’m really excited about this project because it perfectly combines two things I love, technology and finance. As someone who’s always fascinated by how design influences user trust and engagement in fintech apps, I see this as a chance to learn and contribute to building something people actually enjoy using. It also aligns with my goal of blending my coding background with creative design thinking to make finance simpler and more accessible.

Relevant Experience:
I’ve worked on small app design projects as part of college hackathons, where I focused on wireframes, prototypes, and user flows. Recently, I designed a budgeting app prototype using Figma, which helped me understand the balance between simplicity and functionality in fintech apps. I also follow design systems like Material Design and keep up with popular fintech apps to see what works and what doesn’t. My coding background helps me think about what’s realistically implementable, while my interest in finance keeps me focused on what really matters to users.

Project Understanding:
I understand that this project is about designing the user interface and user experience for a new mobile app focused on financial services. The goal is to create a clean, intuitive, and engaging design that helps users easily access financial tools, track expenses, and build trust in the platform. It’s not just about making screens look good but also about ensuring smooth navigation, clear data visualization, and an overall experience that feels secure and user-friendly—especially important in fintech.

Proposed Approach:
First, I’d research the target audience and existing fintech apps to understand what users expect and what could be improved. Then, I’d sketch wireframes and create low-fidelity prototypes to map out the main screens and user flows. Using design tools like Figma, I’d turn these into high-fidelity designs, focusing on simplicity and clarity. Throughout, I’d keep usability testing in mind by getting feedback early to refine the designs. I’d also explore using design systems to keep things consistent and ensure that the final design feels professional and easy to use.



Availability:
1-5 hours

Start Date: 2025-08-01

Commitment Level: regular"
cmdrm93a30001lb0498fo4if3,cmdqvjzzb0002js04etdje7ay,cmdnev57b000j47bcoo9tskz5,PENDING,7/31/2025 16:35:43,7/31/2025 16:35:44,"I am interested in the Renewable Energy Investment Project because I am passionate about sustainability and believe clean energy is essential for the future of both our planet and the global economy. 

Relevant Experience:
I worked at an organization called Environmental Management Agency. The main objectives of the organization are to promote environmental sustainability, regulate and monitor environmental management by enforcing environmental laws and regulations through inspections, licensing and monitoring.

Project Understanding:
I understand this project as an initiative aimed at promoting and supporting investments in renewable energy solutions such as solar, wind, hydro or bioenergy. The core objective is to reduce reliance on fossil fuels, cut carbon emissions and contribute to a more sustainable and energy secure future. From my perspective, what needs to be accomplished includes identifying viable renewable energy projects, assessing their environmental and financial sustainability, attracting investments and ensuring proper implementation and community engagement. 

Proposed Approach:
Firstly I would begin by understanding its specific goals, stakeholders and the current status of renewable energy initiatives within the region. My strategy would be guided by research, collaboration and structured planning 

Availability:
15-20 hours

Start Date: 2025-08-04

Commitment Level: dedicated"
cmdrp1i700001le041c109a60,cmdro3tlj000alb04pcjwxgho,cmdnev61g000l47bcqvcbqxqb,PENDING,7/31/2025 17:53:48,7/31/2025 17:53:49,"I'm passionate about building AI solutions that solve real-world problems. As an AI intern, I built chatbots using RAG and HuggingFace, and I'm excited to apply my skills to improve customer service. This project aligns with my experience in NLP and my goal to develop practical, user-friendly AI tools that enhance customer satisfaction and business efficiency

Relevant Experience:
I developed a RAG-based AI assistant using HuggingFace and Llama models to answer insurance benefit questions from internal documents. I also engineered a gym crowd prediction model using Random Forest and Scikit-learn, achieving 90.4% R². As a software engineering intern, I built full-stack systems with FastAPI and JavaScript. These experiences reflect my strong foundation in NLP, machine learning, and software development key for building an intelligent customer service chatbot

Project Understanding:
This project aims to develop a smart customer service chatbot for an e-commerce platform using natural language processing and machine learning. The chatbot should understand customer queries, respond accurately in real time, and handle tasks like order tracking, FAQs, and issue resolution,reducing the need for human support while improving user satisfaction and efficiency.

Proposed Approach:
I would build the chatbot using Retrieval-Augmented Generation (RAG). First, I’d collect and clean customer service data, then store relevant documents (FAQs, policies, order guides) in a vector database like Chroma or FAISS. I’d use a language model like LLaMA or Mistral with a RAG pipeline to retrieve context and generate accurate, conversational responses. I’d then deploy the chatbot with user feedback to improve its performance over time.

Availability:
5-10 hours

Start Date: 2025-09-01

Commitment Level: casual"
cmdsggc2h0003if04dfo069ii,cmdrgdlki0002lb04w6af2nl0,cmdnev4fx000h47bc5dvuypy4,PENDING,8/1/2025 6:41:09,8/1/2025 6:41:10,"I am deeply interested in this project because it aligns with both my academic background in psychology and my passion for creating meaningful, user-centered digital solutions. Mental health is a critical area that is often underserved, and I believe technology can play a transformative role in making support more accessible, personalized, and stigma-free.

This project offers a unique opportunity to blend research, empathy, and innovation. I’m particularly drawn to the mood tracking and profess"
cmdsj5jzc0001ju04tuhy02g9,cmdsh6lqm0000l804rw07d867,cmdnev57b000j47bcoo9tskz5,PENDING,8/1/2025 7:56:45,8/1/2025 7:56:46,Not only is finance the field I'd like to get into but also learning about sustainable practices and implementing them would be a great learning and growth opportunity for me
cmdsjuzb10003jo04frruvnm8,cmdqvjzzb0002js04etdje7ay,cmdnev245000b47bc6nyfkb77,PENDING,8/1/2025 8:16:32,8/1/2025 8:16:32,"I am deeply interested in the Social Impact Research on Urban Sustainability project because it aligns with both my academic background and personal passion for environmental stewardship and sustainable development. With a Bachelor's degree in Geography and Environmental Science, I have developed a strong foundation in understanding urban systems, environmental challenges, and the socio-economic factors that influence sustainable living"
cmdt0tj4g0001ky04od9f46f7,cmdt0a9wx0000l9046z9wrwjn,cmdnev8a2000r47bcq4a5ecq3,PENDING,8/1/2025 16:11:17,8/1/2025 16:11:18,I feel that this is a good opportunity to test my skills in a real world environment and learn new things as I go along the way
cmdt7ufyo0003jr04mnajg45i,cmdt7f3yp0000l204wlb6mlp7,cmdnetdbb000t475b470ah9og,PENDING,8/1/2025 19:27:57,8/1/2025 19:27:58,"I’d start by understanding the key financial and operational details of each project, then build simple but clear financial models to estimate returns and risks. I’ll focus on identifying major risk factors, comparing project potential, and clearly explaining which investments make the most sense. I’m also open to learning new tools as needed to deliver strong results."
cmdtf674c0005la04u8luddb8,cmdtea81t0004ju045yny8rrs,cmdnev8a2000r47bcq4a5ecq3,PENDING,8/1/2025 22:53:03,8/1/2025 22:53:04,"Working in cyber security field gave me insights how to deal with certain problems, however me working in this project will help me polish my skills and be a return  investment for the company "
cmdtgnll00001lb049b66men1,cmdtg4fk30008la04rig9ihs5,cmdnev8a2000r47bcq4a5ecq3,PENDING,8/1/2025 23:34:35,8/1/2025 23:34:44,Using my cybersecurity knowledge to make the learning experience interactive and help users retain information.
cmdthafed0001ia04p19drs90,cmdtg4fk30008la04rig9ihs5,cmdneuy53000147bchyjf8l90,PENDING,8/1/2025 23:52:20,8/1/2025 23:52:21,"I’m particularly interested in this project because of my experience building FinWise, an AI-powered personal finance solution that dynamically manages budgets based on real-time SMS data. Through FinWise, I explored how intelligent agents and conversational interfaces can make financial"
cmdtyqa1q0003lc0411nb2s3c,cmdtxrsj60006js04sgero7gr,cmdnev3o0000f47bc5ri578uj,PENDING,8/2/2025 8:00:33,8/2/2025 8:00:33,"I am a BSc (Hons) Digital Marketing student who is passionate about communication, strategic thinking, and leadership and gets a thrill out of making ideas work, ideally in the form of effective campaigns. I enjoy working in fast moving environments and situations where team work, creativity and innovation are brought into play in order to produce positive outcomes. I have a passion, enthusiasm, and a history of working on projects, as well as engaging with the audience "
cmdu1i1bd0001l704lkjhf05j,cmdu0z1310002jv04xyaub3oy,cmdnev921000t47bctzmxc0my,PENDING,8/2/2025 9:18:07,8/2/2025 9:18:08,"As the project mentions, 'Create a comprehensive data visualization', I can generate such results as I have experience (personally) with Data Visualization in Python via Jupyter Notebook. "
cmdu1tih20001jw04k86b5fwi,cmdu0z1310002jv04xyaub3oy,cmdnev61g000l47bcqvcbqxqb,PENDING,8/2/2025 9:27:02,8/2/2025 9:27:03,"This Project requires a person to create an effective chat-bot that is powered by NLP, to which I am confident that I can create as I have learnt and practised to creating one. "
cmdu1vslp0001kz04p26pyvqp,cmdu161xh0008jo04vk755fya,cmdnev0kl000747bc2ezzarnw,PENDING,8/2/2025 9:28:49,8/2/2025 9:28:50,"I am interested in this project, firstly because it is within the field of IT and it's data analytics. As an IT student I have done BI unit in my degree, which have given me a great insight on data analysis. And working as a group in my project really build an interest in me to pursue this in the real world projects."
cmdu225w90001l704xpzs3bnc,cmdhlspvo00024793xdi0r7f5,cmdnev8a2000r47bcq4a5ecq3,PENDING,8/2/2025 9:33:46,8/2/2025 9:33:47,knnjnljknlkjnkllknnkjlnklnklnklnknknklnklnlknklnklnklnklnklnklnkln
cmdu2assb0001gv0497zcjqsz,cmdhlspvo00024793xdi0r7f5,cmdnev6sh000n47bc5i86j7gf,PENDING,8/2/2025 9:40:29,8/2/2025 9:40:30,@hereuifhbeiubfdiuohfduifhdiuxhfdiuohfguidhfuiodhgfiuydghfiuydhgfiudh@hereuifhbeiubfdiuohfduifhdiuxhfdiuohfguidhfuiodhgfiuydghfiuydhgfiudh@hereuifhbeiubfdiuohfduifhdiuxhfdiuohfguidhfuiodhgfiuydghfiuydhgfiudh@hereuifhbeiubfdiuohfduifhdiuxhfdiuohfguidhfuiodhgfiuydghfiuydhgfiudh@hereuifhbeiubfdiuohfduifhdiuxhfdiuohfguidhfuiodhgfiuydghfiuydhgfiudh
cmdu2hyjj0001jx04wm2b4hwp,cmdhlspvo00024793xdi0r7f5,cmdnev1cp000947bc3r73y9is,PENDING,8/2/2025 9:46:03,8/2/2025 9:46:04,"jbjklbjlbjlbjlbjlbljbjlbj
Aug 02 10:40:34.00
GET
200
bidaaya.ae
/dashboard/projects
7
🛡️ ===================== MIDDLEWARE END =====================
Aug 02 10:40:34.00
GET
200
bidaaya.ae
/dashboard
7
🛡️ ===================== MIDDLEWARE END =====================
Aug 02 10:40:32.41
GET
200
bidaaya.ae
/dashboard
7
🛡️ ===================== MIDDLEWARE END =====================
Aug 02 10:40:30.43
POST
200
bidaaya.ae
/api/auth/session
31
📋 ===================== SESSION CALLBACK END ================="
cmdu2pzx70001l2041wcm0d7l,cmdu2fq010004gv04vxsjq1wu,cmdnev4fx000h47bc5dvuypy4,PENDING,8/2/2025 9:52:18,8/2/2025 9:52:19,"This project brings more light to psychology which i think is extremely important to talk about especially in the middle eastern region, as it seems to be considered “taboo” at times. Mental health is one of the most important things to take care of, often more than our physical health. There should be no shame in all people getting some form of mental health assistance."
cmdu2uo9u0005l804mcw1z00v,cmdu2fq010004gv04vxsjq1wu,cmdnev3o0000f47bc5ri578uj,PENDING,8/2/2025 9:55:56,8/2/2025 9:55:57,"I have always been passionate about film, whether it’s writing a script or directing or even acting in a video. I’m extremely creative and love to work in a team and combine ideas to reach an optimum result. "
cmdu2yovf0007l204m5yrq4bv,cmdu2fq010004gv04vxsjq1wu,cmdnet6ze0008475bbkbutcdd,PENDING,8/2/2025 9:59:04,8/2/2025 9:59:04,"I’ve always been interested in fashion, as someone from the Gen Z generation myself I understand what appeals to the audience and what would make them look away and ignore our products. "
cmdu6oyy8000ijv04uh567pa3,cmdu3yy5p0000l7041cvcfex0,cmdnet6ze0008475bbkbutcdd,PENDING,8/2/2025 11:43:28,8/2/2025 11:43:29,"I feel this project will help me understand how real-world marketing works and how brands use social media and analytics to grow. Furthermore, I enjoy creative work and I feel this project will help me build hands-on skills and see how digital strategies make an actual impact."
cmdu6uj1v000qjv04cbiuaqvk,cmdu667sc000eib04s2mb7oot,cmdneuzre000547bcqzwir5u9,PENDING,8/2/2025 11:47:48,8/2/2025 11:47:49,"I’m passionate about sustainable fashion and excited to join EcoThread Fashion to support eco-friendly initiatives. This internship offers a great chance to learn about ethical sourcing, circular design, and reducing fashion’s environmental impact. I want to contribute my creativity and dedication to help promote sustainable practices and be part of a team driving positive change in the industry."
cmdu6y52s000ujv04xvoh3cad,cmdu6konx000bjv04jh0enuc3,cmdnev3o0000f47bc5ri578uj,PENDING,8/2/2025 11:50:36,8/2/2025 11:50:37,I love creating content and editing. Iam excited to meet new people and create fun videos with them.
cmdu7skp90005ky04nc2dqx0n,cmdu7i3tq0000l8045qxotfzi,cmdnetdbb000t475b470ah9og,PENDING,8/2/2025 12:14:16,8/2/2025 12:14:17,"i am interested in understanding the ways of how the renewable energy affects and impacts the earth , the other reason also is to get a better understanding of all technology used "
cmdu92xvb000nky042lhcvjz4,cmdu8n38f000eky04ts7ekh5i,cmdnev57b000j47bcoo9tskz5,PENDING,8/2/2025 12:50:20,8/2/2025 12:50:20,"I am interested because I like solar panels, Researching finance and teamwork"
cmdua5kmw000bld04tx5vd62g,cmdu9idi3000ajv04vbdg9bq4,cmdneuzre000547bcqzwir5u9,PENDING,8/2/2025 13:20:22,8/2/2025 13:20:23,"As I’m already in the marketing area I would be a perfect fit for this job, I already have my own marketing business where I help other business get bookings and grow their social media or provide them with product design or web development. I have experience messaging 50 to 100 people a day and I have learned many sales skills that help me in my day to day life. I am a hard working person who does not give up on the job and will stays focused on something until I finish it."
cmduadjpo000hld045lkfeuej,cmdu9zvi00002ld04mnfr2yy6,cmdnev3o0000f47bc5ri578uj,PENDING,8/2/2025 13:26:34,8/2/2025 13:26:35,"I am really interested in content creating. I have completed many projects where I had to plan, film, direct, and edit. I am excited to learn more about what I enjoy."
